7363,22,vm-914,9,2,49.1,0.5,6.0,7.3,10.8,3.3,3.7,4.3,1.7,0.1,10.5,1.7,2.6,6.7,2019-09-20 00:00:00
7363,22,vm-914,10,3,48.4,1.5,5.9,0.1,10.2,10.0,10.7,5.4,9.3,8.4,5.8,2.9,0.1,5.3,2019-09-20 00:01:00
7361,22,vm-914,24,4,43.1,4.9,10.3,4.3,8.1,8.6,7.5,7.4,8.1,1.5,5.8,8.1,3.2,10.3,2019-09-20 00:02:00
7361,22,vm-914,0,3,51.0,6.4,3.8,7.2,5.2,7.0,5.4,2.8,2.4,7.5,7.2,5.9,6.6,9.0,2019-09-20 00:03:00
2400,22,vm-914,11,0,31.5,0.5,8.9,0.9,6.3,9.1,4.9,10.8,9.1,5.9,8.4,10.6,10.1,7.3,2019-09-20 00:04:00
7361,22,vm-914,19,7,46.0,10.7,9.6,1.0,0.6,3.9,1.3,9.5,6.9,9.3,5.1,3.5,8.7,9.1,2019-09-20 00:05:00
7363,22,vm-914,3,3,38.8,6.5,8.6,6.2,0.8,7.6,3.4,2.3,9.2,7.1,0.5,2.8,4.5,6.9,2019-09-20 00:06:00
7363,22,vm-914,9,0,45.5,8.7,7.0,7.9,7.8,9.2,3.3,5.1,6.8,4.6,6.3,9.2,6.5,9.9,2019-09-20 00:07:00
2400,22,vm-914,11,0,31.0,6.9,5.9,5.3,4.7,0.6,1.6,7.8,9.9,1.1,4.6,7.3,6.8,1.2,2019-09-20 00:08:00
2400,22,vm-914,10,5,35.9,5.9,1.4,4.2,4.8,7.9,0.9,8.0,3.2,1.1,1.8,6.8,6.9,5.3,2019-09-20 00:09:00
7361,22,vm-914,4,1,54.5,3.0,3.3,1.4,1.8,8.8,0.0,4.4,4.5,7.1,10.5,1.7,9.1,7.2,2019-09-20 00:10:00
7363,22,vm-914,12,1,36.2,4.4,7.2,2.1,5.3,6.2,9.2,4.9,3.1,9.5,9.9,2.4,8.1,7.3,2019-09-20 00:11:00
2400,22,vm-914,3,0,42.8,0.7,10.6,5.3,8.1,1.8,3.7,4.5,9.2,2.8,4.6,9.4,7.3,7.4,2019-09-20 00:12:00
2400,22,vm-914,11,5,32.7,6.4,3.7,5.6,2.8,0.0,10.0,6.4,4.2,2.9,6.3,5.4,4.9,0.3,2019-09-20 00:13:00
7363,22,vm-914,9,1,46.4,6.7,1.6,2.0,2.2,10.9,9.4,5.8,9.1,8.2,3.3,1.7,3.9,3.4,2019-09-20 00:14:00
7363,22,vm-914,12,0,46.8,1.9,8.6,7.3,0.8,1.7,2.3,9.8,4.3,7.2,10.0,6.5,2.0,0.7,2019-09-20 00:15:00
